subject_code,question_text,marks,option_a,option_b,option_c,option_d,correct_option_label
PSR,The rate of Resettlement Allowance payable to an officer on transfer is set at:,1,1% of annual total emolument.,2% of annual total emolument.,5% of annual total emolument.,10% of annual total emolument.,B
PSR,"A Non-accident bonus of ?50,000 per annum is payable to drivers who have driven for at least:",1,3 months in a year.,6 months in a year without an accident.,12 consecutive months.,5 consecutive years without any traffic violation.,B
PSR,Warm Clothing Allowance for officers required to proceed to a foreign country is eligible for payment once every:,1,2 years.,3 years.,5 years.,Single instance in a career.,B
PSR,Which color of ink or pencil is strictly forbidden for use in checking accounting transactions by anyone other than the Office of the Auditor-General?,1,Red.,Blue.,Black.,Green.,D
PSR,"According to the Financial Regulations, the document itself should be reviewed every:",1,2 years.,5 years.,10 years.,15 years.,B
PSR,The term Sub-Accounting Officer specifically includes which of the following officers?,1,The Honourable Minister of Finance.,The Director of Finance and Accounts.,All clerical officers in the accounts department.,Only officials of the Central Bank of Nigeria.,B
PSR,Virement (transfer of funds) is explicitly prohibited from which vote category to another?,1,From Personnel to Overhead.,From Recurrent Expenditure to Capital Expenditure.,Between two separate Capital Expenditure items.,Between Travel and Training overhead items.,B
PSR,At what frequency must a Revenue Collector balance their cash book?,1,Hourly.,Daily.,Weekly.,Monthly.,B
PSR,What is the minimum grade level required for an Internal Audit staff to be empowered to use audit stamps at Headquarters?,1,GL 08.,GL 10.,GL 12.,GL 15.,C
PSR,"Boards of Survey on cash books, bank balances, and stamps should be held at what regular interval?",1,Once a year.,At least twice a year.,Quarterly.,Monthly.,B
PSR,Which document is used to formally take stores or inventories into charge after a local procurement exercise?,1,Store Issue Voucher (SIV).,Store Receipt Voucher (SRV).,Local Purchase Order (LPO).,Consignment Delivery Note.,B
PSR,Clerical Officers on GL 04 who exhibit exceptional performance in examinations may be advanced to which level at an accelerated pace?,1,GL 05.,GL 06.,GL 07.,GL 08.,B
PSR,Which specific department within the Office of the Accountant-General (OAGF) handles Asset Tracking and Management?,1,Finance and Accounts Department.,Internal Audit Unit.,ATMPD.,Treasury Inspectorate.,C
PSR,An officer who pays public money into a private bank account rather than an official account is deemed to have done so with:,1,High efficiency.,Administrative convenience.,Fraudulent intention.,Implicit Ministerial approval.,C
PSR,What is the maximum initial duration allowed for an officer on study leave without pay?,1,2 years.,4 years.,5 years.,10 years.,B
